questionID,isFree,category,subCategory,conceptID,format,prompt,correctChoice,sourceIDs,lawBasis,subject,timing,numbers,exceptions,distractors,explanations,reviewer,reviewedAt,decision,notes
takken2026.v26.gyoho.0041,False,宅建業法,37条書面,official.gyoho.c80882.014,multiple_choice,【37条書面】「代金は37条」に関する次の記述のうち、正しいものを選んでください。,売買では、代金の額、支払時期、支払方法などが37条書面の記載事項です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0042,False,宅建業法,8種制限,official.gyoho.9cf105.015,true_false,"【8種制限】次の記述は正しいですか。
8種制限は、宅建業者が自ら売主となる場合の規制です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0043,False,宅建業法,8種制限,official.gyoho.9cf105.015,multiple_choice,【8種制限】「自ら売主が条件」に関する次の記述のうち、正しいものを選んでください。,8種制限は、宅建業者が自ら売主となる場合の規制です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0044,False,宅建業法,8種制限,official.gyoho.9cf105.015,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,8種制限は、宅建業者が自ら売主となる場合の規制です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0045,False,宅建業法,8種制限,official.gyoho.9cf105.016,true_false,"【8種制限】次の記述は正しいですか。
8種制限は、買主が宅建業者でない場合を保護する規制です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0046,False,宅建業法,8種制限,official.gyoho.9cf105.016,multiple_choice,【8種制限】「買主が業者なら原則適用なし」に関する次の記述のうち、正しいものを選んでください。,8種制限は、買主が宅建業者でない場合を保護する規制です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0047,True,宅建業法,8種制限,official.gyoho.9cf105.016,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,8種制限は、買主が宅建業者でない場合を保護する規制です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0048,False,宅建業法,8種制限,official.gyoho.9cf105.017,wording_contrast,【8種制限】「8日経過で不可」について、正確な記述を選んでください。,クーリング・オフは、書面等で告知を受けた日から8日を経過するとできなくなります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0049,False,宅建業法,8種制限,official.gyoho.9cf105.017,number_choice,【8種制限・数値】クーリング・オフの告知を受けた日から、何日を経過すると行使できなくなるか。,8日,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0050,False,宅建業法,8種制限,official.gyoho.9cf105.017,multiple_choice,【8種制限】「8日経過で不可」に関する次の記述のうち、正しいものを選んでください。,クーリング・オフは、書面等で告知を受けた日から8日を経過するとできなくなります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0051,False,宅建業法,8種制限,official.gyoho.9cf105.018,wording_contrast,【8種制限】「業者売主×非業者買主」について、正確な記述を選んでください。,8種制限は、宅建業者売主・買主非宅建業者の場面で適用されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0052,True,宅建業法,8種制限,official.gyoho.9cf105.018,multiple_choice,【8種制限】「業者売主×非業者買主」に関する次の記述のうち、正しいものを選んでください。,8種制限は、宅建業者売主・買主非宅建業者の場面で適用されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0053,False,宅建業法,8種制限,official.gyoho.9cf105.018,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,8種制限は、宅建業者売主・買主非宅建業者の場面で適用されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0054,False,宅建業法,8種制限,official.gyoho.9cf105.019,true_false,"【8種制限】次の記述は正しいですか。
宅建業者売主には、自己の所有に属しない物件の売買契約を制限する規定がありません。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0055,False,宅建業法,8種制限,official.gyoho.9cf105.019,wording_contrast,【8種制限】「他人物売買の制限」について、正確な記述を選んでください。,宅建業者売主には、自己の所有に属しない物件の売買契約を制限する規定があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0056,False,宅建業法,8種制限,official.gyoho.9cf105.019,multiple_choice,【8種制限】「他人物売買の制限」に関する次の記述のうち、正しいものを選んでください。,宅建業者売主には、自己の所有に属しない物件の売買契約を制限する規定があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0057,False,宅建業法,8種制限,official.gyoho.9cf105.020,wording_contrast,【8種制限】「8種制限は買主保護」について、正確な記述を選んでください。,8種制限は、宅建業者売主と非宅建業者買主の情報・交渉力の差を踏まえた保護規定です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0058,False,宅建業法,8種制限,official.gyoho.9cf105.020,multiple_choice,【8種制限】「8種制限は買主保護」に関する次の記述のうち、正しいものを選んでください。,8種制限は、宅建業者売主と非宅建業者買主の情報・交渉力の差を踏まえた保護規定です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0059,False,宅建業法,8種制限,official.gyoho.9cf105.020,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,8種制限は、宅建業者売主と非宅建業者買主の情報・交渉力の差を踏まえた保護規定です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0060,False,宅建業法,8種制限,official.gyoho.9cf105.021,true_false,"【8種制限】次の記述は正しいですか。
宅建業者売主が受け取れる手付は、代金の20%を超えることができません。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0061,True,宅建業法,8種制限,official.gyoho.9cf105.021,number_choice,【8種制限・数値】宅建業者売主が受け取れる手付の上限は、代金の何%か。,20%,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0062,False,宅建業法,8種制限,official.gyoho.9cf105.021,multiple_choice,【8種制限】「手付は20%まで」に関する次の記述のうち、正しいものを選んでください。,宅建業者売主が受け取れる手付は、代金の20%を超えることができません。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0063,False,宅建業法,8種制限,official.gyoho.9cf105.022,wording_contrast,【8種制限】「損害賠償・違約金は合計20%まで」について、正確な記述を選んでください。,損害賠償額の予定と違約金の合計は、代金額の20%が上限です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0064,False,宅建業法,8種制限,official.gyoho.9cf105.022,number_choice,【8種制限・数値】損害賠償額の予定と違約金の合計上限は、代金の何%か。,20%,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0065,False,宅建業法,8種制限,official.gyoho.9cf105.022,multiple_choice,【8種制限】「損害賠償・違約金は合計20%まで」に関する次の記述のうち、正しいものを選んでください。,損害賠償額の予定と違約金の合計は、代金額の20%が上限です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0066,False,宅建業法,8種制限,official.gyoho.9cf105.022,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,損害賠償額の予定と違約金の合計は、代金額の20%が上限です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0067,False,宅建業法,8種制限,official.gyoho.9cf105.023,wording_contrast,【8種制限】「手付は解約手付」について、正確な記述を選んでください。,宅建業者売主が受け取る手付は、原則として解約手付とされます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0068,False,宅建業法,8種制限,official.gyoho.9cf105.023,multiple_choice,【8種制限】「手付は解約手付」に関する次の記述のうち、正しいものを選んでください。,宅建業者売主が受け取る手付は、原則として解約手付とされます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0069,False,宅建業法,8種制限,official.gyoho.9cf105.023,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,宅建業者売主が受け取る手付は、原則として解約手付とされます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0070,False,宅建業法,8種制限,official.gyoho.9cf105.024,true_false,"【8種制限】次の記述は正しいですか。
未完成物件では、手付金等が代金の5%または1,000万円を超える場合に保全措置が必要です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0071,False,宅建業法,8種制限,official.gyoho.9cf105.024,number_choice,【8種制限・数値】未完成物件で、手付金等の保全措置が不要となる割合基準は代金の何%以下か。,5%,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0072,False,宅建業法,8種制限,official.gyoho.9cf105.024,multiple_choice,【8種制限】「未完成は5%または1000万円超」に関する次の記述のうち、正しいものを選んでください。,"未完成物件では、手付金等が代金の5%または1,000万円を超える場合に保全措置が必要です。",egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0073,True,宅建業法,8種制限,official.gyoho.9cf105.025,number_choice,【8種制限・数値】未完成物件の手付金等について、保全措置の割合基準は何%か。,5%,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0074,False,宅建業法,8種制限,official.gyoho.9cf105.025,multiple_choice,【8種制限】「未完成物件の保全基準」に関する次の記述のうち、正しいものを選んでください。,"未完成物件では、手付金等が代金の5%以下かつ1,000万円以下であれば、保全措置は不要です。",egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0075,False,宅建業法,8種制限,official.gyoho.9cf105.025,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,"未完成物件では、手付金等が代金の5%以下かつ1,000万円以下であれば、保全措置は不要です。",egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0076,False,宅建業法,8種制限,official.gyoho.9cf105.026,true_false,"【8種制限】次の記述は正しいですか。
宅建業者が手付として受領する金銭には、名称にかかわらず代金の10%上限が適用されます。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0077,False,宅建業法,8種制限,official.gyoho.9cf105.026,number_choice,【8種制限・数値】宅建業者売主が受け取る手付の上限割合は、名称にかかわらず何%か。,20%,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0078,False,宅建業法,8種制限,official.gyoho.9cf105.026,multiple_choice,【8種制限】「手付の名称ではなく実質」に関する次の記述のうち、正しいものを選んでください。,宅建業者が手付として受領する金銭には、名称にかかわらず代金の20%上限が適用されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0079,False,宅建業法,8種制限,official.gyoho.9cf105.027,true_false,"【8種制限】次の記述は正しいですか。
完成物件では、手付金等が代金の10%以下かつ1,000万円以下であれば、保全措置は不要です。",正しい,mlit.transaction,,,,,,,,,,,
takken2026.v26.gyoho.0080,False,宅建業法,8種制限,official.gyoho.9cf105.027,wording_contrast,【8種制限】「完成物件の保全基準」について、正確な記述を選んでください。,"完成物件では、手付金等が代金の10%以下かつ1,000万円以下であれば、保全措置は不要です。",mlit.transaction,,,,,,,,,,,
takken2026.v26.gyoho.0081,False,宅建業法,8種制限,official.gyoho.9cf105.028,true_false,"【8種制限】次の記述は正しいですか。
買主は、相手方が履行に着手するまで、手付を放棄して解除できません。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0082,False,宅建業法,8種制限,official.gyoho.9cf105.028,multiple_choice,【8種制限】「買主は手付放棄」に関する次の記述のうち、正しいものを選んでください。,買主は、相手方が履行に着手するまで、手付を放棄して解除できます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0083,False,宅建業法,8種制限,official.gyoho.9cf105.028,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,買主は、相手方が履行に着手するまで、手付を放棄して解除できます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0084,False,宅建業法,8種制限,official.gyoho.9cf105.029,true_false,"【8種制限】次の記述は正しいですか。
契約不適合を通知すべき期間を引渡しから2年以上とする特約は、買主に不利な特約として無効とはされません。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0085,False,宅建業法,8種制限,official.gyoho.9cf105.029,number_choice,【8種制限・数値】契約不適合を通知すべき期間を買主に不利に短縮しないため、特約で定める最低期間は引渡しから何年以上か。,2年,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0086,False,宅建業法,8種制限,official.gyoho.9cf105.030,wording_contrast,【8種制限】「クーリング・オフの場所要件」について、正確な記述を選んでください。,宅建業者の事務所等以外の場所で申込みをした買主は、要件を満たせばクーリング・オフできます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0087,True,宅建業法,8種制限,official.gyoho.9cf105.030,multiple_choice,【8種制限】「クーリング・オフの場所要件」に関する次の記述のうち、正しいものを選んでください。,宅建業者の事務所等以外の場所で申込みをした買主は、要件を満たせばクーリング・オフできます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0088,False,宅建業法,8種制限,official.gyoho.9cf105.030,case_study,【8種制限・事例】宅建業者Aが自ら売主となり、宅建業者ではない買主Bへ宅地を販売します。 次の記述のうち、最も適切なものを選んでください。,宅建業者の事務所等以外の場所で申込みをした買主は、要件を満たせばクーリング・オフできます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0089,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.031,wording_contrast,【事務所・案内所・標識・帳簿】「誇大広告は禁止」について、正確な記述を選んでください。,宅建業者は、著しく事実に相違する表示や実際より著しく優良・有利と誤認させる広告をしてはなりません。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0090,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.031,multiple_choice,【事務所・案内所・標識・帳簿】「誇大広告は禁止」に関する次の記述のうち、正しいものを選んでください。,宅建業者は、著しく事実に相違する表示や実際より著しく優良・有利と誤認させる広告をしてはなりません。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0091,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.031,case_study,【事務所・案内所・標識・帳簿・事例】宅建業者Aが事務所または案内所で営業を行います。 次の記述のうち、最も適切なものを選んでください。,宅建業者は、著しく事実に相違する表示や実際より著しく優良・有利と誤認させる広告をしてはなりません。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0092,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.032,true_false,"【事務所・案内所・標識・帳簿】次の記述は正しいですか。
従業者証明書と宅建士証は別のものではありません。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0093,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.032,wording_contrast,【事務所・案内所・標識・帳簿】「従業者証明書と宅建士証を区別」について、正確な記述を選んでください。,従業者証明書と宅建士証は別のものです。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0094,True,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.033,number_choice,【事務所・案内所・標識・帳簿・数値】契約締結または申込みを受ける案内所等に必要な専任宅建士は何人以上か。,1人,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0095,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.033,multiple_choice,【事務所・案内所・標識・帳簿】「契約行為ありの案内所は1人以上」に関する次の記述のうち、正しいものを選んでください。,契約締結または申込みを受ける案内所等には、専任宅建士を1人以上置く必要があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0096,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.033,case_study,【事務所・案内所・標識・帳簿・事例】宅建業者Aが事務所または案内所で営業を行います。 次の記述のうち、最も適切なものを選んでください。,契約締結または申込みを受ける案内所等には、専任宅建士を1人以上置く必要があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0097,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.034,number_choice,【事務所・案内所・標識・帳簿・数値】専任宅建士が法定数に不足した場合、必要な措置をとる期限は何週間以内か。,2週間,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0098,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.034,multiple_choice,【事務所・案内所・標識・帳簿】「不足時は2週間以内」に関する次の記述のうち、正しいものを選んでください。,専任宅建士が不足した場合は、2週間以内に補充など必要な措置をとる必要があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0099,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.034,case_study,【事務所・案内所・標識・帳簿・事例】宅建業者Aが事務所または案内所で営業を行います。 次の記述のうち、最も適切なものを選んでください。,専任宅建士が不足した場合は、2週間以内に補充など必要な措置をとる必要があります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0100,False,宅建業法,事務所・案内所・標識・帳簿,official.gyoho.f7dfba.035,true_false,"【事務所・案内所・標識・帳簿】次の記述は正しいですか。
宅建業者は、必要な開発許可や建築確認等を受ける前に、未完成物件の広告をしても差し支えありません。",誤り,egov.takken,,,,,,,,,,,
