priority,questionID,isFree,category,subCategory,format,conceptID,reason
P1,takken2026.v26.gyoho.0065,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.022,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0066,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.022,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0067,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.023,通常全問校閲
P1,takken2026.v26.gyoho.0068,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.023,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0069,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.023,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0070,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.024,通常全問校閲
P2,takken2026.v26.gyoho.0071,False,宅建業法,8種制限,number_choice,official.gyoho.9cf105.024,通常全問校閲
P1,takken2026.v26.gyoho.0072,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.024,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0073,True,宅建業法,8種制限,number_choice,official.gyoho.9cf105.025,無料見本のため最優先
P1,takken2026.v26.gyoho.0074,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.025,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0075,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.025,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0076,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.026,通常全問校閲
P2,takken2026.v26.gyoho.0077,False,宅建業法,8種制限,number_choice,official.gyoho.9cf105.026,通常全問校閲
P1,takken2026.v26.gyoho.0078,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.026,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0079,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.027,通常全問校閲
P2,takken2026.v26.gyoho.0080,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.027,通常全問校閲
P2,takken2026.v26.gyoho.0081,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.028,通常全問校閲
P1,takken2026.v26.gyoho.0082,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.028,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0083,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.028,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0084,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.029,通常全問校閲
P2,takken2026.v26.gyoho.0085,False,宅建業法,8種制限,number_choice,official.gyoho.9cf105.029,通常全問校閲
P2,takken2026.v26.gyoho.0086,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.030,通常全問校閲
P0,takken2026.v26.gyoho.0087,True,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.030,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0088,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.030,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0089,False,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.031,通常全問校閲
P1,takken2026.v26.gyoho.0090,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.031,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0091,False,宅建業法,事務所・案内所・標識・帳簿,case_study,official.gyoho.f7dfba.031,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0092,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.032,通常全問校閲
P2,takken2026.v26.gyoho.0093,False,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.032,通常全問校閲
P0,takken2026.v26.gyoho.0094,True,宅建業法,事務所・案内所・標識・帳簿,number_choice,official.gyoho.f7dfba.033,無料見本のため最優先
P1,takken2026.v26.gyoho.0095,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.033,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0096,False,宅建業法,事務所・案内所・標識・帳簿,case_study,official.gyoho.f7dfba.033,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0097,False,宅建業法,事務所・案内所・標識・帳簿,number_choice,official.gyoho.f7dfba.034,通常全問校閲
P1,takken2026.v26.gyoho.0098,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.034,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0099,False,宅建業法,事務所・案内所・標識・帳簿,case_study,official.gyoho.f7dfba.034,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0100,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.035,通常全問校閲
P2,takken2026.v26.gyoho.0101,False,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.035,通常全問校閲
P0,takken2026.v26.gyoho.0102,True,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.036,無料見本のため最優先
P2,takken2026.v26.gyoho.0103,False,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.036,通常全問校閲
P1,takken2026.v26.gyoho.0104,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.036,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0105,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.037,通常全問校閲
P2,takken2026.v26.gyoho.0106,False,宅建業法,事務所・案内所・標識・帳簿,number_choice,official.gyoho.f7dfba.037,通常全問校閲
P1,takken2026.v26.gyoho.0107,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.037,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0108,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.038,通常全問校閲
P1,takken2026.v26.gyoho.0109,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.038,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0110,False,宅建業法,事務所・案内所・標識・帳簿,case_study,official.gyoho.f7dfba.038,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0111,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.039,通常全問校閲
P2,takken2026.v26.gyoho.0112,False,宅建業法,事務所・案内所・標識・帳簿,number_choice,official.gyoho.f7dfba.039,通常全問校閲
P1,takken2026.v26.gyoho.0113,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.039,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0114,True,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.040,無料見本のため最優先
P2,takken2026.v26.gyoho.0115,False,宅建業法,事務所・案内所・標識・帳簿,number_choice,official.gyoho.f7dfba.040,通常全問校閲
P1,takken2026.v26.gyoho.0116,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.040,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0117,False,宅建業法,事務所・案内所・標識・帳簿,case_study,official.gyoho.f7dfba.040,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0118,False,宅建業法,事務所・案内所・標識・帳簿,true_false,official.gyoho.f7dfba.041,通常全問校閲
P2,takken2026.v26.gyoho.0119,False,宅建業法,事務所・案内所・標識・帳簿,wording_contrast,official.gyoho.f7dfba.041,通常全問校閲
P1,takken2026.v26.gyoho.0120,False,宅建業法,事務所・案内所・標識・帳簿,multiple_choice,official.gyoho.f7dfba.041,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0121,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.042,通常全問校閲
P1,takken2026.v26.gyoho.0122,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.042,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0123,False,宅建業法,保証協会,case_study,official.gyoho.12b28b.042,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0124,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.043,通常全問校閲
P1,takken2026.v26.gyoho.0125,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.043,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0126,False,宅建業法,保証協会,case_study,official.gyoho.12b28b.043,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0127,False,宅建業法,保証協会,number_choice,official.gyoho.12b28b.044,通常全問校閲
P1,takken2026.v26.gyoho.0128,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.044,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0129,False,宅建業法,保証協会,case_study,official.gyoho.12b28b.044,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0130,False,宅建業法,保証協会,true_false,official.gyoho.12b28b.045,通常全問校閲
P2,takken2026.v26.gyoho.0131,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.045,通常全問校閲
P2,takken2026.v26.gyoho.0132,False,宅建業法,保証協会,true_false,official.gyoho.12b28b.046,通常全問校閲
P2,takken2026.v26.gyoho.0133,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.046,通常全問校閲
P2,takken2026.v26.gyoho.0134,False,宅建業法,保証協会,true_false,official.gyoho.12b28b.047,通常全問校閲
P2,takken2026.v26.gyoho.0135,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.047,通常全問校閲
P2,takken2026.v26.gyoho.0136,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.048,通常全問校閲
P1,takken2026.v26.gyoho.0137,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.048,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0138,False,宅建業法,保証協会,case_study,official.gyoho.12b28b.048,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0139,False,宅建業法,保証協会,true_false,official.gyoho.12b28b.049,通常全問校閲
P2,takken2026.v26.gyoho.0140,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.049,通常全問校閲
P1,takken2026.v26.gyoho.0141,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.049,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0142,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.050,通常全問校閲
P1,takken2026.v26.gyoho.0143,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.050,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0144,False,宅建業法,保証協会,case_study,official.gyoho.12b28b.050,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0145,False,宅建業法,保証協会,true_false,official.gyoho.12b28b.051,通常全問校閲
P2,takken2026.v26.gyoho.0146,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.051,通常全問校閲
P1,takken2026.v26.gyoho.0147,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.051,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0148,False,宅建業法,保証協会,wording_contrast,official.gyoho.12b28b.052,通常全問校閲
P0,takken2026.v26.gyoho.0149,True,宅建業法,保証協会,number_choice,official.gyoho.12b28b.052,無料見本のため最優先
P1,takken2026.v26.gyoho.0150,False,宅建業法,保証協会,multiple_choice,official.gyoho.12b28b.052,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0151,False,宅建業法,重要事項説明（35条）,true_false,official.gyoho.12b28b.053,近年改正・周辺法令確認
P0,takken2026.v26.gyoho.0152,True,宅建業法,重要事項説明（35条）,wording_contrast,official.gyoho.12b28b.053,無料見本のため最優先 / 近年改正・周辺法令確認
P1,takken2026.v26.gyoho.0153,False,宅建業法,重要事項説明（35条）,multiple_choice,official.gyoho.12b28b.053,近年改正・周辺法令確認 / 全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0154,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.054,通常全問校閲
P2,takken2026.v26.gyoho.0155,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.054,通常全問校閲
P2,takken2026.v26.gyoho.0156,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.055,通常全問校閲
P1,takken2026.v26.gyoho.0157,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.055,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0158,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.055,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0159,True,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.056,無料見本のため最優先
P1,takken2026.v26.gyoho.0160,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.056,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0161,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.056,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0162,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.057,通常全問校閲
P1,takken2026.v26.gyoho.0163,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.057,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0164,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.057,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0165,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.058,通常全問校閲
P2,takken2026.v26.gyoho.0166,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.058,通常全問校閲
P1,takken2026.v26.gyoho.0167,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.058,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0168,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.059,通常全問校閲
P2,takken2026.v26.gyoho.0169,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.059,通常全問校閲
P2,takken2026.v26.gyoho.0170,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.060,通常全問校閲
P2,takken2026.v26.gyoho.0171,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.060,通常全問校閲
P1,takken2026.v26.gyoho.0172,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.060,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0173,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.061,通常全問校閲
P1,takken2026.v26.gyoho.0174,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.061,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0175,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.061,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0176,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.062,通常全問校閲
P1,takken2026.v26.gyoho.0177,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.062,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0178,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.062,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0179,True,宅建業法,免許制度,true_false,official.gyoho.38fe90.063,無料見本のため最優先
P1,takken2026.v26.gyoho.0180,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.063,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0181,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.063,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0182,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.064,通常全問校閲
P2,takken2026.v26.gyoho.0183,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.064,通常全問校閲
P1,takken2026.v26.gyoho.0184,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.064,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0185,False,宅建業法,免許制度,number_choice,official.gyoho.38fe90.065,通常全問校閲
P1,takken2026.v26.gyoho.0186,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.065,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0187,False,宅建業法,免許制度,case_study,official.gyoho.38fe90.065,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0188,True,宅建業法,免許制度,true_false,official.gyoho.38fe90.066,無料見本のため最優先
P2,takken2026.v26.gyoho.0189,False,宅建業法,免許制度,number_choice,official.gyoho.38fe90.066,通常全問校閲
P1,takken2026.v26.gyoho.0190,False,宅建業法,免許制度,multiple_choice,official.gyoho.38fe90.066,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0191,False,宅建業法,免許制度,true_false,official.gyoho.38fe90.067,通常全問校閲
P2,takken2026.v26.gyoho.0192,False,宅建業法,免許制度,wording_contrast,official.gyoho.38fe90.067,通常全問校閲
P2,takken2026.v26.gyoho.0193,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.068,通常全問校閲
P1,takken2026.v26.gyoho.0194,False,宅建業法,営業保証金,multiple_choice,official.gyoho.3c8b8e.068,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0195,True,宅建業法,営業保証金,case_study,official.gyoho.3c8b8e.068,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0196,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.069,通常全問校閲
P2,takken2026.v26.gyoho.0197,False,宅建業法,営業保証金,wording_contrast,official.gyoho.3c8b8e.069,通常全問校閲
P2,takken2026.v26.gyoho.0198,False,宅建業法,営業保証金,number_choice,official.gyoho.3c8b8e.070,通常全問校閲
P0,takken2026.v26.gyoho.0199,True,宅建業法,営業保証金,multiple_choice,official.gyoho.3c8b8e.070,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0200,False,宅建業法,営業保証金,case_study,official.gyoho.3c8b8e.070,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0201,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.071,通常全問校閲
P2,takken2026.v26.gyoho.0202,False,宅建業法,営業保証金,wording_contrast,official.gyoho.3c8b8e.071,通常全問校閲
P1,takken2026.v26.gyoho.0203,False,宅建業法,営業保証金,multiple_choice,official.gyoho.3c8b8e.071,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0204,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.072,通常全問校閲
P2,takken2026.v26.gyoho.0205,False,宅建業法,営業保証金,wording_contrast,official.gyoho.3c8b8e.072,通常全問校閲
P2,takken2026.v26.gyoho.0206,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.073,通常全問校閲
P2,takken2026.v26.gyoho.0207,False,宅建業法,営業保証金,wording_contrast,official.gyoho.3c8b8e.073,通常全問校閲
P1,takken2026.v26.gyoho.0208,False,宅建業法,営業保証金,multiple_choice,official.gyoho.3c8b8e.073,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0209,False,宅建業法,営業保証金,true_false,official.gyoho.3c8b8e.074,通常全問校閲
P2,takken2026.v26.gyoho.0210,False,宅建業法,営業保証金,wording_contrast,official.gyoho.3c8b8e.074,通常全問校閲
P1,takken2026.v26.gyoho.0211,False,宅建業法,営業保証金,multiple_choice,official.gyoho.3c8b8e.074,全誤答肢の法的妥当性確認
